left_shoulderX,left_shoulderY,right_shoulderX,right_shoulderY,right_elbowX,right_elbowY,right_wristX,right_wristY,label
0.693294882774353,0.5779802203178406,0.3835362195968628,0.5765542984008789,0.5191386938095093,0.24209298193454742,0.2898638844490051,0.2898638844490051,1
0.6966651678085327,0.5788050293922424,0.3843371272087097,0.5827315449714661,0.5184263586997986,0.24608823657035828,0.10292770713567734,0.10292770713567734,1
0.6980866193771362,0.5789620876312256,0.3843980133533478,0.5851313471794128,0.5178097486495972,0.24961477518081665,0.07943487912416458,0.07943487912416458,1
0.6988512277603149,0.5789600014686584,0.3844069540500641,0.5862423777580261,0.5174015760421753,0.25108417868614197,0.0842076912522316,0.0842076912522316,1
0.6992961764335632,0.5789403915405273,0.3844459652900696,0.5865896940231323,0.5171339511871338,0.25164058804512024,0.06884266436100006,0.06884266436100006,1
0.7000547051429749,0.5789190530776978,0.3845888674259186,0.5870599746704102,0.5169172883033752,0.25203582644462585,0.026606807485222816,0.026606807485222816,1
0.7008981108665466,0.5790857672691345,0.38484734296798706,0.5880420804023743,0.5168671011924744,0.2520994544029236,0.038205716758966446,0.038205716758966446,1
0.7014878988265991,0.5790792107582092,0.38537487387657166,0.5884149074554443,0.5167250037193298,0.2523292899131775,0.03804687783122063,0.03804687783122063,1
0.7020938396453857,0.5790833234786987,0.3856799900531769,0.5886019468307495,0.516452431678772,0.2523459196090698,0.01832730881869793,0.01832730881869793,1
0.7024778127670288,0.5790069699287415,0.38574981689453125,0.5893732309341431,0.5162907242774963,0.2518630027770996,-0.0036906281020492315,-0.0036906281020492315,1
0.7026239633560181,0.5789287090301514,0.385762482881546,0.5896322131156921,0.5162274241447449,0.2518627941608429,-0.008216401562094688,-0.008216401562094688,1
0.7026649713516235,0.5786755084991455,0.3857630491256714,0.5899753570556641,0.5160915851593018,0.25181636214256287,-0.0028541102074086666,-0.0028541102074086666,1
0.7026602625846863,0.5784178376197815,0.3856858015060425,0.5900655388832092,0.5151176452636719,0.2523837387561798,-0.0043273926712572575,-0.0043273926712572575,1
0.7026541233062744,0.5782656669616699,0.38558897376060486,0.5907506942749023,0.5151059031486511,0.25568872690200806,0.009946498088538647,0.009946498088538647,1
